"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Zwift - Richmond Group Ride Turned Attackfest","Bike","","","","2018-01-01","","33891.078125","226","777","836.838","","1.02916666666667","9.14700031280518","","90","","0","0","","","0.94136772878049","90.55","","","","","","","","","","","12","21","14","8","4","5","","","","","",""
"Treadmill Running","Run","","","","2018-01-02","","1953.9599609375","","","","","0.169006109237671","3.21199989318848","","79","","153","162","","","0.917400577078988","15.06","1","2","7","0","0","0","0","","","","","","","","","","","","","","",""
"Zwift - Volcano Action","Bike","","","","2018-01-02","","28272.2890625","218","558","807.268","","1.02659057617188","7.64900016784668","","77","","128","165","","","0.831668915849374","59.64","16","19","39","2","0","","","","","","25","20","17","9","4","1","","","","","",""
"Zwift - Watopia Mtn - major +ant drop","Bike","","","","2018-01-04","","25476.8203125","238","650","1156.925","","1.35053466796875","5.23999977111816","","82","","103","184","","","0.941923055390738","88.88","28","17","15","22","1","","","","","","25","14","12","15","12","5","","","","","",""
"The mountain that rides #dadbod","Bike","","","","2018-01-08","","29294.4609375","218","407","862.649","","1.09728196885851","7.41499996185303","","80","","125","179","","","0.866637956981747","76.38","26","14","10","21","0","","","","","","18","16","12","15","7","1","","","","","",""
"Running","Run","","","","2018-01-09","","6448.64013671875","","","","","0.525472223758698","3.40899991989136","","77","","141","161","","","0.912888593144379","47.77","15","9","7","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-01-12","","4026.27001953125","","","","","0.347928047180176","3.21399998664856","","76","","55","72","","","0.887532569783577","29.58","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - Richmond Post Race Lap","Bike","","","","2018-01-12","","17737.869140625","190","686","393.504","","0.574722222222222","8.57299995422363","","86","","81","131","","","0.788236723338965","35.28","24","4","0","0","0","","","","","","15","10","3","3","2","2","","","","","",""
"Zwift - EVR Race - lost connection lap 2","Bike","","","","2018-01-12","","20929.990234375","242","559","527.748","","0.605555555555556","9.60000038146973","","90","","143","171","","","0.918235063017254","50.29","0","0","8","28","0","","","","","","6","7","12","8","4","3","","","","","",""
"Zwift Structured Ride. ERG mode is 10"" behind","Bike","","","","2018-01-13","","34090.46875","179","483","670.855","","1.03916415744358","9.11200046539307","","92","","122","152","","","0.676881401044353","46.12","7","33","23","0","0","","","","","","16","39","6","2","1","1","","","","","",""
"#SpeedSherpaNation Group Ride - getting smacked around on hills","Bike","","","","2018-01-14","","38788.9296875","211","573","1188.96","","1.56261637369792","6.89499998092651","","87","","0","0","","","0.865170868598675","112.44","","","","","","","","","","","21","22","22","16","9","4","","","","","",""
"Zwift tech challenges solved...I hope!","Bike","","","","2018-01-15","","2823.2099609375","148","195","48.432","","0.0911111111111111","8.60700035095215","","84","","0","0","","","0.57572120057207","2.75","","","","","","","","","","","2","4","0","0","0","0","","","","","",""
"Zwift Calibration. Round 2. Lesson: Turn off power pedals!","Bike","","","","2018-01-15","","3054.46997070313","150","437","51.661","","0.0955555555555556","8.87899971008301","","85","","0","0","","","0.675577577771316","3.98","","","","","","","","","","","5","2","0","0","0","0","","","","","",""
"Trainer: Easy Spin with Blasts!","Bike","","0","","2018-01-15","","3532.81005859375","129","482","93.24","","0.200406663682726","4.89599990844727","","56","","0","0","","","0.683246434990008","5.93","","","","","","","","","","","8","2","1","1","0","0","","","","","",""
"Lap Swimming","Swim","","","","2018-01-15","","1737.36004638672","","","","","0.439672780036926","1.09492628355343","","22","","","","","","0.960310151794432","38.94","","","","","","","","","","","","","","","","","","","","","",""
"Mixin' it up in between Conf Calls","Bike","","","","2018-01-16","","32841.23046875","229","671","1219.866","","1.47724717881944","6.17500019073486","","61","","0","0","","","0.921532310399713","86.03","","","","","","","","","","","25","21","18","13","7","4","","","","","",""
"Volcano laps w Jackson","Bike","","","","2018-01-17","","35469.21875","225","529","814.53","","1.00722222222222","9.7810001373291","","91","","0","0","","","0.894354351028313","79.97","","","","","","","","","","","11","18","12","9","7","4","","","","","",""
"","Run","Intense Basketball Game","","","2018-01-18","","1609.34449789256","","","","","0.25","1.78816055321396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2018-01-18","","1371.60003662109","","","","","0.325757502184974","1.16697852169205","","25","","","","","","1.02325607393248","34.9","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-01-19","","6717.97998046875","","","","","0.584210276603699","3.19400000572205","","76","","","","","","0.878607173329547","49.29","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Progression by 10min","Bike","","0","","2018-01-20","","6647.22998046875","194","369","143.16","","0.204444444444444","9.0310001373291","","87","","0","0","","","0.759921324603335","11.36","","","","","","","","","","","3","5","2","2","1","0","","","","","",""
"Cycling","Bike","","","","2018-01-20","","41512.76953125","","","","","2.12081050872803","5.43699979782104","","","","114","169","","","0.60937615887685","88.97","78","37","9","5","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-01-21","","6682.669921875","","","","","0.58621609210968","3.16700005531311","","77","","142","161","","","0.875786003334341","49.19","17","15","3","0","0","0","0","","","","","","","","","","","","","","",""
