Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
13783770,"Jul 17, 2012, 10:02:23 PM",Ride to Massage and back....Aerobic Endurance,Ride,Ride to Massage and back....Aerobic Endurance,10917,46.71,37,FALSE,,activities/15902927.tcx.gz
13785555,"Jul 15, 2012, 11:28:56 AM",IBSP ride...,Ride,IBSP ride...,8614,63.94,,FALSE,,activities/15905911.tcx.gz
14298659,"Jul 21, 2012, 5:01:34 PM",Ride around Lake Placid and up Whiteface Mtn,Ride,Ride around Lake Placid and up Whiteface Mtn,18131,97.29,92,FALSE,,activities/16487834.tcx.gz
20298819,"Aug 30, 2012, 6:55:36 PM",Hill Repeats near Penske on the TT bike,Ride,Hill Repeats near Penske on the TT bike,3673,28.61,31,FALSE,,activities/23163135.tcx.gz
21924943,"Sep 13, 2012, 6:37:44 PM",Ride out to French Creek and back on TT bike.  Crank on Shed Rd,Ride,Ride out to French Creek and back on TT bike.  Crank on Shed Rd,9689,62.65,62,FALSE,,activities/24950704.tcx.gz
24510998,"Oct 9, 2012, 6:54:24 PM",Cross bike cruise on the Thun Trail.  Gotta avoid rocks...flat with 3 miles to go.  Of course I didn't stop to change it.  Ride on!!!,Ride,Cross bike cruise on the Thun Trail.  Gotta avoid rocks...flat with 3 miles to go.  Of course I didn't stop to change it.  Ride on!!!,4340,30.76,28,FALSE,,activities/27850409.tcx.gz
27563963,"Nov 11, 2012, 8:40:10 PM",ride through Coventry township on cross bike. cruise. ,Ride,,5959,40.98,,FALSE,,activities/27563963.gpx
27700586,"Nov 12, 2012, 9:07:29 PM",Another cross bike cruise on the road,Ride,,3633,24.26,,FALSE,,activities/31352851.tcx.gz
32707499,"Dec 16, 2012, 7:38:51 PM",MTB ride from townhouse to Wakefield and tear that place up!,Ride,,4891,27.95,,FALSE,,activities/32707499.gpx
34856767,"Dec 30, 2012, 9:08:33 PM",chasing foxes in the woods at dusk on the MTB,Ride,,6267,28.71,,FALSE,,activities/34856767.gpx
35879567,"Jan 5, 2013, 12:29:19 AM",Friday night run getting lost in the woods,Run,,2146,7.21,,FALSE,,activities/35879567.gpx
35988135,"Jan 5, 2013, 2:07:49 PM",bike lane shop group ride,Ride,,5946,43.95,,FALSE,,activities/35988135.gpx
36001785,"Jan 5, 2013, 4:09:02 PM",transition run on gravel rolling terrain post shop ride,Run,,2143,6.65,,FALSE,,activities/36001785.gpx
