"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"","Run","Soft sand run in cape may!","0.5","","2014-01-01","","5656.66","","","","","0.503652777777778","3.13214839424142","","","","","","","","0.884733992824754","42.76","","","","","","","","","","","","","","","","","","","","","",""
"","Bike","Aerobic endurance spin on trainer","1","","2014-01-02","","25749.504","","","","","1","7.15264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Swim","The 200s are challenging because you have to swim them at pace & light amount of rest.  400 Choice 6 x 50 Build :15 6 x 200 :15  #1-3 = 50 drill + 150 @ pace  #4-6 = 75 @ pace + 50 kick + 75 @ pace 100 easy Two times through... 2 x 25 no breath 4 x 25 FAST free 100 easy drill 2 x 25 no breath 2 x 25 FAST free 100 easy smooth free 100 CD","1","","2014-01-02","","2743.2","","","","","1","0.762","","","","","","","","0.213445378151261","0.97","","","","","","","","","","","","","","","","","","","","","",""
"","Day Off","Rest","","","2014-01-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"150': 4x(8' tempo+4'LT+2 AeC)","Bike","Tough ride today. I highly recommend starting the 1st and 2nd time through on the lower end of your zones because the later sets will be challenging. . 30' progressive WU (last 5' @ tempo) . 5 x (1' spinup + 3' AR) . 10' AeT . Four times through at 90-95 rpm... 8' Tempo 4' LT 2' AeC 6' AR . 10 CD","2.5","","2014-01-04","","56327.04","","","","","2.25","6.95395555555556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Run","Transition Run","0.5","","2014-01-04","","6562.16","","","","","0.559563888888889","3.26313276976629","","","","","","","","0.917731445082478","51.37","","","","","","","","","","","","","","","","","","","","","",""
"","Swim","Masters","1","","2014-01-05","","3108.96","","","","","1","0.8636","","","","","","","","0.241904761904762","1.42","","","","","","","","","","","","","","","","","","","","","",""
"","Bike","Structured easy spin to shake the legs out. Lots of 3' and 6' sets plus drills today. . 6' easy WU @ ~95 rpm . 2 x (1' left leg only + 1' right leg + 1' easy) . 2 x (30"" spinups + 2' AR + 30"" spinups + 3' AR) . 3' Aerobic Endurance @ ~95 rpm . 2 x (1' left leg only + 1' right leg + 1' easy) . 2 x (30"" spinups + 2' AR + 30"" spinups + 3' AR) . 3' Aerobic Endurance @ ~95 rpm","0.8","","2014-01-06","","6562.16","","","","","0.559563888888889","3.26313276976629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Bike","Double Pyramid hitting all of your zones . 15' WU (8' AR->AeT + 3' tempo + 4' AeT) . Two times through the main pyramid set with 5' recovery in between. Use final 5' as CD for workout . 4' AeT 3' Tempo 2' LT 1' AeC 2' LT 3' Tempo 4' AeT 5' AR/CD","1.05","","2014-01-07","","29772.864","","","","","1.01667","8.1346356241455","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Run","Run during lunch","0.66667","","2014-01-08","","8046.72","","","","","0.65","3.43876923076923","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
