Title,WorkoutType,WorkoutDescription,PlannedDuration,PlannedDistanceInMeters,WorkoutDay,CoachComments,DistanceInMeters,PowerAverage,PowerMax,Energy,AthleteComments,TimeTotalInHours,VelocityAverage,VelocityMax,CadenceAverage,CadenceMax,HeartRateAverage,HeartRateMax,TorqueAverage,TorqueMax,IF,TSS,HRZone1Minutes,HRZone2Minutes,HRZone3Minutes,HRZone4Minutes,HRZone5Minutes,HRZone6Minutes,HRZone7Minutes,HRZone8Minutes,HRZone9Minutes,HRZone10Minutes,PWRZone1Minutes,PWRZone2Minutes,PWRZone3Minutes,PWRZone4Minutes,PWRZone5Minutes,PWRZone6Minutes,PWRZone7Minutes,PWRZone8Minutes,PWRZone9Minutes,PWRZone10Minutes,Rpe,Feeling
74' Pyramid of Death,Bike,This workout is similar to Heather Jackson's ladder of death. We climb up the pyramid with a low cadence and travel down the pyramid with a normal cadence but your legs will be tired! Please know that this is a workout that you may fail. Reduce the intensity if you feel like you're going to fall off the Pyramid! . 12' WU . Up the Pyramid @ 70-80 rpm: 8' tempo (85% FTP or 70.3 race pace) 2' easy @ 85-95 rpm (55-60% FTP) 6' LT (95% FTP or Oly race pace) 2' easy @ 85-95 rpm (55-60% FTP) 4' Low AeC (100% FTP or Sprint race pace) 2' easy @ 85-95 rpm (55-60% FTP) 2' High AeC (110% FTP or Sharp Hill pace) 2' easy @ 85-95 rpm (55-60% FTP) 1' AnC (120% FTP or Sub Max) 2' easy @ 85-95 rpm (55-60% FTP) . Down the Pyramid @ 80-90 rpm: 1' AnC (120% FTP or Sub Max) 2' easy @ 85-95 rpm (55-60% FTP) 2' High AeC (110% FTP or Sharp Hill pace) 2' easy @ 85-95 rpm (55-60% FTP) 4' Low AeC (100% FTP or Sprint race pace) 2' easy @ 85-95 rpm (55-60% FTP) 6' LT (95% FTP or Oly race pace) 2' easy @ 85-95 rpm (55-60% FTP) 8' tempo (85% FTP or 70.3 race pace) 2' easy @ 85-95 rpm (55-60% FTP),1.233333333,,2019-01-01,,45971.28906,246,363,1118.063,,1.263055563,10.10999966,,0,,0,0,,,0.948039354,112.94,,,,,,,,,,,2,25,8,24,15,3,,,,,,
,Day Off,Rest and eat cake,,,2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60': Aerobic chopping wood - 2 x (10' AeT + 10' High AeT),Bike,Aerobic style workout. Nothing fancy. Just a nice little sweat. Perfect for watching a show or zoning out. Enjoy yourself! Keep everything between 85-95 rpm today. . 15' comfortable WU . Run through this 2 times: 10' AeT 10' High AeT . That's it!,1,,2019-01-03,,35597.35156,211,300,775.761,,1.020277739,9.690999985,,0,,0,0,,,0.710775441,51.08,,,,,,,,,,,1,57,4,0,0,0,,,,,,
Road to ruins with 2 x 3-5' efforts,Bike,,1,,2019-01-04,,34331.46094,217,419,800.795,,1.025277734,9.300999641,,0,,0,0,,,0.801795995,65.63,,,,,,,,,,,11,30,9,4,6,2,,,,,,
,Day Off,Rest,,,2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swim,"Rehab swim: 50% Back, 50% Free",0.416666667,1463.040039,2019-01-06,,1463.039998,,,,,0.4,1.015999998,,,,,,,,0.888888889,28.09,,,,,,,,,,,,,,,,,,,,,,
120': 3 x (13' high AeT + 2' efforts ) + 4 x sub->threshold 5' efforts,Bike,"Good endurance building work with short spikes to keep you on your toes for the first part of the workout. Then we move into 4 x 5' efforts that will work on improving your threshold. The ""recovery"" for all of these efforts is never less than 70% FTP so it forces your body to process lactic acid and will fatigue you more than you will realize. . 20' WU . Repeat 3 times: 13' High AeT (IM Race RPE) 1' LT (Sprint Race RPE) 1' AeC (Short Hill Climb RPE) . 10' AeT (all day long pace) . Repeat 4 times 3' Tempo (70.3 RPE) 2' LT (Sprint Race RPE) 5' AeT (all day long pace) . 5' CD",2.25,,2019-01-06,,73407.21094,213,457,1782.154,,2.323178053,8.777000427,,0,,0,0,,,0.739871807,123.26,,,,,,,,,,,9,109,14,10,0,0,,,,,,
,Run,Transition run,0.266666667,3218.688477,2019-01-06,,3218.688996,,,,,0.266666667,3.352801037,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,
Treadmill Running,Run,,,,2019-01-06,,3234.790039,,,, *01/12/2019 David Henkel: TomTom MySports Watch*,0.268333346,3.349999905,,,,159,173,,,0.938798516,25.32,1,2,5,6,1,0,0,,,,,,,,,,,,,,,
,Swim,Rehab Swim: Lots of fast backstroke,0.333333333,,2019-01-07,,1371.599998,,,,,0.333333333,1.142999998,,,,,,,,1,33.33,,,,,,,,,,,,,,,,,,,,,,
Loosening the back spasm,Bike,,1,,2019-01-08,,34872.17969,203,216,739.013,,1.010833383,9.581999779,,0,,0,0,,,0.681189851,46.58,,,,,,,,,,,2,59,0,0,0,0,,,,,,
,Run,Peaceful run on the National Mall,0.5,,2019-01-08,,5954.574642,,,,,0.5,3.308097023,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,
70' Aerobic,Bike,,1.15,,2019-01-09,,41909.48047,217,318,919.518,,1.174444437,9.911999702,,0,,0,0,,,0.745609119,64.94,,,,,,,,,,,1,35,30,4,0,0,,,,,,
60': Muscular Endurance Pain!,Bike,Lots of climbing today! Don't get cocky because the first one isn't hard. We are going to slowly break you down over time. The goal is to help build leg strength and this workout helps to facilitate that objective. . 15' Progressive WU @ 80-90 rpm . 8' tempo @ 70-80 rpm 2' easy @ 85-95 rpm . 8' LT @ 70-80 rpm 2' easy @ 85-95 rpm . Repeat 3 times! 4' AeC @ 70-80 rpm 4' easy @ 85-95 rpm,0.983333333,,2019-01-10,,38678.98828,250,350,913.582,,1.014722228,10.5880003,,0,,0,0,,,0.895370604,80.82,,,,,,,,,,,0,26,15,8,12,0,,,,,,
15' Transition run,Run,"Short run off the bike. You pick the pace. The hope is that after 5 minutes, you start to feel the legs snap back to life.",0.25,,2019-01-10,,3218.688996,,,,,0.266666667,3.352801037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swim,Rehab Swim . Repeat 2 times: 200 Free on 3:00 2 x 50 Backstroke on 1:00 2 x 100 Paddles on 1:30 2 x 50 Backstroke on :50 . 50 Easy Cooldown,0.333333333,,2019-01-11,,1142.999998,,,,,0.275,1.154545453,,,,,,,,1.01010101,28.34,,,,,,,,,,,,,,,,,,,,,,
Zwift - Watopia,Bike,Volcano Climb,0.833333333,,2019-01-12,,24322.75,249,474,597.083,,0.667222202,10.1260004,,0,,0,0,,,0.882690476,51.4,,,,,,,,,,,1,19,9,5,5,2,,,,,,
Running,Run,,0.75,,2019-01-12,,8402.509766,,,, *01/12/2019 David Henkel: TomTom MySports Watch*,0.768611133,2.74000001,,,,147,174,,,0.854772637,61.78,9,29,5,1,0,0,0,,,,,,,,,,,,,,,
150': Base workout (long WU + 5x(15' AeT + 10' High AeT + 5' tempo),Bike,"Long base ride where the warm-up is probably the hardest thing (last 5-10'). After that, it's tune out and enjoy a movie, some good tunes, or chat with your friends! . 30' Progressive WU (tempo/70.3 pace last 10') . Repeat 5 times, please 15' AeT 10' High AeT 5' Low Tempo . 5' CD",3,,2019-01-14,,17631.91992,207,231,379.482,,0.5088889,9.623999596,,0,,0,0,,,0.700864285,24.57,,,,,,,,,,,18,25,5,0,0,0,,,,,,
Zwift - New Workout,Bike,,,,2019-01-15,,30618.55078,187,352,678.878,,1.007500052,8.440999985,,0,,0,0,,,0.627166452,39.28,,,,,,,,,,,2,58,0,0,0,0,,,,,,
,Swim,,,,2019-01-15,,1508.759998,,,,,0.366666667,1.142999998,,,,,,,,1,36.67,,,,,,,,,,,,,,,,,,,,,,
60': Barn Burner! 3 sections of short efforts,Bike,Hold onto your seats! Lots of threshold and above threshold efforts with light rest. The entire workout can be done between 80-95 rpm. Highly recommend spinning on the higher end during the recovery sections because your legs should feel TIRED by the last 3 x 1' efforts! . 10' Progressive Warm-up (tempo by last 2 minutes) . Repeat 3 times: 3' LT (100% FTP) 3' Easy (65% FTP) . Repeat 3 times 3' Low LT (90% FTP) 2' AeC (110% FTP) 3' Easy (65% FTP) . Repeat 3 times: 1' AnC (120% FTP) 2' Easy (65% FTP),1.016666667,,2019-01-16,,34265.01172,239,361,892.317,,1.038036346,9.168999672,,0,,0,0,,,0.860842174,75.57,,,,,,,,,,,3,29,13,9,9,0,,,,,,
Zwift - Watopia,Bike,,,,2019-01-18,,30654.91016,240,469,762.22,,0.8838889,9.633000374,,0,,0,0,,,0.867406316,65.84,,,,,,,,,,,3,22,15,5,3,4,,,,,,
,Swim,,,,2019-01-18,,1737.359997,,,,,0.45,1.072444443,,,,,,,,0.938271605,37.17,,,,,,,,,,,,,,,,,,,,,,
Zwift - Watopia,Bike,,,,2019-01-26,,36333.76172,237,620,856.633,,1.004722238,10.04500008,,0,,0,0,,,0.859169947,73.64,,,,,,,,,,,7,28,11,6,4,4,,,,,,
64': Aerobic endurance with high cadence active recovery efforts,Bike,Active recovery type of ride. Some really easy stuff with high cadence and then everything else is aerobic. Couple of tempo pushes to get the juices flowing but that's it. . 12' progressive WU . Repeat 4 times: 8' AeT (70% FTP) @ 80-90 rpm 2' Easy (55% FTP) @ 95-105 rpm . Repeat 3 times: 2' AeT (85% FTP) @ 80-90 rpm 2' Easy (55% FTP) @ 95-105 rpm,1.066666667,,2019-02-01,,40789.66016,208,294,821.907,,1.100000024,10.30000019,,0,,0,0,,,0.709288308,54.99,,,,,,,,,,,3,57,6,0,0,0,,,,,,
Zwift - New Workout,Bike,,,,2019-02-08,,30899.43945,186,384,677.532,,1.012185216,8.479000092,,0,,0,0,,,0.628187766,39.19,,,,,,,,,,,2,58,0,0,0,0,,,,,,
90': Endurance ride with microbursts,Bike,"We are going to do these mini-sets of microbursts. They will hurt and then we go back into endurance mode. This will show us two things: FTP status and fitness. Mentally focus on the sets and let your body take care of the endurance sections . 20' progressive WU . Repeat 4 times: 30"" LT (100% FTP) @ 80-90 rpm 2' Easy (55% FTP) @ 90-95 rpm . Repeat 6 times: 30"" LT (120% FTP) @ 80-90 rpm 30"" Easy (55% FTP) @ 80-90 rpm . 5' AeT (70% FTP) 5' High AeT (75% FTP) 5' Low Tempo (80% FTP) . Repeat 8 times: 30"" LT (120% FTP) @ 80-90 rpm 30"" Easy (55% FTP) @ 80-90 rpm . 5' AeT (70% FTP) 5' High AeT (75% FTP) 5' Low Tempo (80% FTP) . Repeat 10 times: 30"" LT (120% FTP) @ 80-90 rpm 30"" Easy (55% FTP) @ 80-90 rpm . 6' CD",1.5,,2019-02-09,,40483.82031,215,414,914.853,,1.183724761,9.5,,0,,0,0,,,0.761913175,68.37,,,,,,,,,,,16,41,6,2,7,0,,,,,,
60': Flush ride with strong WU & aerobic 2nd half,Bike,"As the description suggests, this ride ramps up every 3' during WU. Toward the back half, it will feel like WORK! Then we take the intensity off and ride aerobically for the remainder of the ride. . 30' progressive WU (Last 10' are strong!) . 15' AeT (70% FTP / IM race RPE) 15' High AeT (75% FTP / IM race RPE)",1,,2019-02-11,,12540.71973,177,315,268.839,,0.421818078,8.258000374,,0,,0,0,,,0.678930608,16.56,,,,,,,,,,,5,19,2,0,0,0,,,,,,
